Ds Município;Dose;Contagem de Id Vacinacao
BORÁ;2° Dose;40
NOVA CASTILHO;2° Dose;47
MESÓPOLIS;2° Dose;62
SAGRES;2° Dose;51
TRABIJU;2° Dose;51
BOREBI;2° Dose;53
PAULISTÂNIA;2° Dose;64
FERNÃO;2° Dose;60
URU;2° Dose;53
PRACINHA;2° Dose;78
BOM SUCESSO DE ITARARÉ;2° Dose;67
UNIÃO PAULISTA;2° Dose;89
MACEDÔNIA;2° Dose;90
CRUZÁLIA;2° Dose;82
DIRCE REIS;2° Dose;67
ESTRELA DO NORTE;2° Dose;69
SANTA CRUZ DA ESPERANÇA;2° Dose;72
NOVAIS;2° Dose;60
QUADRA;2° Dose;50
ZACARIAS;2° Dose;61
VITÓRIA BRASIL;2° Dose;76
SANTANA DA PONTE PENSA;2° Dose;45
SÃO JOÃO DE IRACEMA;2° Dose;81
ASPÁSIA;2° Dose;79
SÃO JOÃO DAS DUAS PONTES;2° Dose;52
JUMIRIM;2° Dose;65
BENTO DE ABREU;2° Dose;61
BALBINOS;2° DOSE;75
NANTES;2° Dose;95
SABINO;2° Dose;32
ARAPEÍ;2° Dose;98
GUARANI D'OESTE;2° Dose;92
ÓLEO;2° Dose;74
JOÃO RAMALHO;2° DOSE;82
NOVA GUATAPORANGA;2° Dose;62
GABRIEL MONTEIRO;2° Dose;62
SANTA SALETE;2° Dose;91
PARISI;2° Dose;82
NOVA INDEPENDÊNCIA;2° Dose;89
BREJO ALEGRE;2° Dose;47
LUCIANÓPOLIS;2° Dose;61
QUEIROZ;2° Dose;98
EMBAÚBA;2° Dose;80
PLATINA;2° Dose;77
SANTA CLARA D'OESTE;2° Dose;112
PONTES GESTAL;2° DOSE;84
TURIÚBA;2° DOSE;98
NOVA CANAÃ PAULISTA;2° Dose;67
SANDOVALINA;2° Dose;94
JÚLIO MESQUITA;2° Dose;76
TAQUARIVAÍ;2° Dose;95
AREIAS;2° Dose;132
MARINÓPOLIS;2° Dose;95
RUBIÁCEA;2° Dose;104
DOLCINÓPOLIS;2° Dose;76
LOURDES;2° Dose;96
PONTALINDA;2° Dose;64
NOVA LUZITÂNIA;2° Dose;83
RIFAINA;2° Dose;76
CÁSSIA DOS COQUEIROS;2° Dose;94
CANAS;2° Dose;108
ÁLVARO DE CARVALHO;2° Dose;73
ITAPIRAPUÃ PAULISTA;2° Dose;80
MOTUCA;2° Dose;80
ITAJU;2° Dose;97
TEJUPÁ;2° Dose;80
CANITAR;2° Dose;105
ESPÍRITO SANTO DO TURVO;2° Dose;94
NIPOÃ;2° Dose;73
TAQUARAL;2° Dose;119
JERIQUARA;2° Dose;95
MARABÁ PAULISTA;2° Dose;83
PRESIDENTE ALVES;2° Dose;85
RIBEIRÃO CORRENTE;2° Dose;113
BARRA DO CHAPÉU;2° Dose;90
FLORÍNEA;2° Dose;124
ALVINLÂNDIA;2° Dose;87
MARIÁPOLIS;2° Dose;119
TORRE DE PEDRA;2° Dose;99
PRATÂNIA;2° Dose;95
SUZANÁPOLIS;2° Dose;81
MOMBUCA;2° Dose;176
SÃO JOÃO DO PAU D'ALHO;2° Dose;102
MONÇÕES;2° Dose;104
ELISIÁRIO;2° Dose;99
FLORA RICA;2° Dose;97
OSCAR BRESSANE;2° Dose;115
TURMALINA;2° Dose;102
PEDRANÓPOLIS;2° Dose;104
CAMPOS NOVOS PAULISTA;2° Dose;110
LUTÉCIA;2° Dose;123
SANTA MERCEDES;2° Dose;106
SÃO JOSÉ DO BARREIRO;2° Dose;114
MIRA ESTRELA;2° Dose;115
SANTA ERNESTINA;2° Dose;104
MARAPOAMA;2° Dose;109
RUBINÉIA;2° Dose;136
PEDRINHAS PAULISTA;2° DOSE;125
SÃO FRANCISCO;2° Dose;90
TIMBURI;2° Dose;106
RIBEIRA;2° Dose;116
PARANAPUÃ;2° Dose;115
BARÃO DE ANTONINA;2° DOSE;166
NARANDIBA;2° Dose;131
CÂNDIDO RODRIGUES;2° Dose;105
SANTA RITA D'OESTE;2° Dose;99
JAMBEIRO;2° Dose;159
UBARANA;2° Dose;128
PONGAÍ;2° Dose;121
LAVRINHAS;2° Dose;128
GUZOLÂNDIA;2° Dose;109
ARAMINA;2° Dose;116
SEBASTIANÓPOLIS DO SUL;2° Dose;125
ORINDIÚVA;2° Dose;177
REDENÇÃO DA SERRA;2° Dose;114
ALAMBARI;2° Dose;120
CAIABU;2° Dose;112
CORUMBATAÍ;2° Dose;126
SARUTAIÁ;2° DOSE;155
COROADOS;2° Dose;114
LUIZIÂNIA;2° Dose;112
ANHUMAS;2° Dose;129
SANTO EXPEDITO;2° Dose;123
ITAPURA;2° Dose;129
OCAUÇU;2° Dose;115
UBIRAJARA;2° Dose;133
GASTÃO VIDIGAL;2° Dose;110
LUPÉRCIO;2° Dose;139
MONTEIRO LOBATO;2° Dose;131
GAVIÃO PEIXOTO;2° Dose;120
ONDA VERDE;2° Dose;138
SANTÓPOLIS DO AGUAPEÍ;2° DOSE;146
IPEÚNA;2° Dose;122
EMILIANÓPOLIS;2° Dose;149
PLANALTO;2° Dose;128
FLOREAL;2° Dose;112
RIBEIRÃO DOS ÍNDIOS;2° Dose;127
CABRÁLIA PAULISTA;2° Dose;124
ARCO-ÍRIS;2° Dose;232
INÚBIA PAULISTA;2° Dose;144
ALTAIR;2° DOSE;175
ANHEMBI;2° Dose;115
SANTA MARIA DA SERRA;2° Dose;160
SALMOURÃO;2° Dose;129
MAGDA;2° Dose;118
DOBRADA;2° Dose;133
GLICÉRIO;2° Dose;145
RIBEIRÃO DO SUL;2° Dose;138
MERIDIANO;2° Dose;145
RESTINGA;2° Dose;165
BORACÉIA;2° Dose;125
ANALÂNDIA;2° Dose;111
RIVERSUL;2° Dose;133
ADOLFO;2° Dose;167
IARAS;2° Dose;139
MENDONÇA;2° Dose;235
ITAOCA;2° Dose;232
AREIÓPOLIS;2° Dose;226
SÃO JOSÉ DA BELA VISTA;2° Dose;179
MURUTINGA DO SUL;2° Dose;162
SÃO PEDRO DO TURVO;2° Dose;115
CAMPINA DO MONTE ALEGRE;2° Dose;128
RIBEIRÃO GRANDE;2° Dose;141
SANTA LÚCIA;2° DOSE;152
MONTE CASTELO;2° Dose;148
PAULICÉIA;2° Dose;136
IPIGUÁ;2° Dose;149
CORONEL MACEDO;2° DOSE;171
BURITIZAL;2° Dose;173
CAIUÁ;2° Dose;188
NOVA CAMPINA;2° Dose;148
INDIANA;2° Dose;147
ÁLVARES FLORENCE;2° Dose;114
ITIRAPUÃ;2° Dose;147
ARANDU;2° Dose;136
MIRASSOLÂNDIA;2° Dose;206
GUARANTÃ;2° Dose;189
PARDINHO;2° Dose;139
TACIBA;2° Dose;150
CLEMENTINA;2° DOSE;197
INDIAPORÃ;2° Dose;158
GUAIMBÊ;2° Dose;242
IACRI;2° Dose;194
SILVEIRAS;2° Dose;173
POPULINA;2° Dose;168
RAFARD;2° Dose;207
PEDRA BELA;2° Dose;137
LAVÍNIA;2° Dose;167
VISTA ALEGRE DO ALTO;2° Dose;183
ALTO ALEGRE;2° DOSE;214
ÁGUAS DE SANTA BÁRBARA;2° Dose;178
TARABAI;2° Dose;198
APARECIDA D'OESTE;2° Dose;218
BARBOSA;2° DOSE;238
AMÉRICO DE CAMPOS;2° Dose;189
PALMARES PAULISTA;2° Dose;214
ALFREDO MARCONDES;2° Dose;207
TAPIRAÍ;2° Dose;190
GUATAPARÁ;2° DOSE;172
SALTO GRANDE;2° Dose;58
PIQUEROBI;2° Dose;262
SARAPUÍ;2° Dose;158
PIACATU;2° DOSE;210
DUMONT;2° Dose;231
RIOLÂNDIA;2° Dose;203
SANTO ANTÔNIO DO PINHAL;2° Dose;242
PARAÍSO;2° Dose;235
TUIUTI;2° Dose;172
ESTIVA GERBI;2° Dose;196
VARGEM;2° Dose;177
JABORANDI;2° DOSE;257
RINÓPOLIS;2° Dose;275
SANTA CRUZ DA CONCEIÇÃO;2° Dose;209
ECHAPORÃ;2° Dose;272
COLÔMBIA;2° DOSE;274
SANTO ANTÔNIO DO JARDIM;2° Dose;177
LAGOINHA;2° Dose;234
BRAÚNA;2° Dose;256
QUINTANA;2° Dose;237
SALES;2° Dose;197
CATIGUÁ;2° Dose;138
NATIVIDADE DA SERRA;2° Dose;306
ORIENTE;2° Dose;221
TRÊS FRONTEIRAS;2° Dose;225
IPORANGA;2° Dose;392
SANTO ANTÔNIO DO ARACANGUÁ;2° DOSE;259
IRAPUÃ;2° Dose;279
ITOBI;2° Dose;214
REGINÓPOLIS;2° Dose;216
ICÉM;2° Dose;250
LINDÓIA;2° Dose;208
ÁGUAS DE SÃO PEDRO;2° Dose;232
PEREIRAS;2° DOSE;173
CRISTAIS PAULISTA;2° Dose;221
NUPORANGA;2° Dose;278
EUCLIDES DA CUNHA PAULISTA;2° Dose;217
LUÍS ANTÔNIO;2° Dose;280
SANTA ALBERTINA;2° Dose;246
GUAIÇARA;2° Dose;210
NOVA ALIANÇA;2° Dose;267
QUELUZ;2° Dose;257
TAIAÇU;2° DOSE;296
IRAPURU;2° Dose;189
PIQUETE;2° Dose;261
BOFETE;2° Dose;202
SALTINHO;2° Dose;180
IBIRAREMA;2° Dose;270
HERCULÂNDIA;2° Dose;216
FERNANDO PRESTES;2° Dose;233
JACI;2° Dose;342
POLONI;2° Dose;298
NOVA EUROPA;2° Dose;214
RINCÃO;2° Dose;292
TAIÚVA;2° Dose;309
DOURADO;2° Dose;307
AVANHANDAVA;2° Dose;233
GÁLIA;2° Dose;317
SERRA AZUL;2° Dose;322
SANTO ANTÔNIO DA ALEGRIA;2° Dose;291
CHAVANTES;2° Dose;243
IGARATÁ;2° Dose;257
PEDRO DE TOLEDO;2° Dose;242
MANDURI;2° Dose;228
MONTE ALEGRE DO SUL;2° DOSE;240
TAGUAÍ;2° Dose;260
SUD MENNUCCI;2° DOSE;323
ARIRANHA;2° Dose;365
AVAÍ;2° Dose;497
ROSEIRA;2° Dose;327
ÁGUAS DA PRATA;2° Dose;266
COLINA;2° DOSE;396
AREALVA;2° Dose;255
BOCAINA;2° Dose;331
PAULO DE FARIA;2° Dose;363
GUAREÍ;2° Dose;315
COSMORAMA;2° Dose;240
SETE BARRAS;2° Dose;260
HOLAMBRA;2° Dose;302
PORANGABA;2° Dose;234
IEPÊ;2° Dose;300
VALENTIM GENTIL;2° Dose;306
ALUMÍNIO;2° Dose;283
CAPELA DO ALTO;2° Dose;281
MACAUBAL;2° Dose;325
CHARQUEADA;2° Dose;328
ILHA COMPRIDA;2° Dose;265
TARUMÃ;2° Dose;325
OURO VERDE;2° Dose;350
BÁLSAMO;2° Dose;367
TERRA ROXA;2° DOSE;351
BILAC;2° Dose;322
MINEIROS DO TIETÊ;2° Dose;278
BOA ESPERANÇA DO SUL;2° DOSE;299
SÃO BENTO DO SAPUCAÍ;2° Dose;339
MORUNGABA;2° Dose;302
IPUÃ;2° Dose;349
ELIAS FAUSTO;2° Dose;305
GETULINA;2° DOSE;435
VERA CRUZ;2° Dose;330
CANANÉIA;2° Dose;352
ARAÇARIGUAMA;2° Dose;313
GUARAÇAÍ;2° DOSE;391
PIRAPORA DO BOM JESUS;2° Dose;413
RIBEIRÃO BRANCO;2° Dose;313
SEVERÍNIA;2° DOSE;434
SALES OLIVEIRA;2° Dose;350
BURI;2° Dose;287
ITAPUÍ;2° Dose;323
CEDRAL;2° Dose;475
ENGENHEIRO COELHO;2° Dose;428
SÃO LUIZ DO PARAITINGA;2° Dose;349
SÃO LOURENÇO DA SERRA;2° DOSE;283
IACANGA;2° Dose;295
CAJOBI;2° DOSE;489
ESTRELA D'OESTE;2° Dose;386
CAFELÂNDIA;2° DOSE;244
BARRA DO TURVO;2° Dose;511
ITIRAPINA;2° Dose;473
RIBEIRÃO BONITO;2° DOSE;386
GUARACI;2° DOSE;441
SÃO SEBASTIÃO DA GRAMA;2° Dose;354
