Municipio;Dose;Contagem de Id Vacinacao
NOVA CASTILHO;2° Dose;5
BORÁ;2° Dose;17
VITÓRIA BRASIL;2° Dose;23
GABRIEL MONTEIRO;2° Dose;27
SANTANA DA PONTE PENSA;2° Dose;14
GUARANI D'OESTE;2° Dose;18
QUADRA;2° Dose;26
DIRCE REIS;2° Dose;25
SÃO JOÃO DAS DUAS PONTES;2° Dose;24
ASPÁSIA;2° Dose;27
ZACARIAS;2° Dose;35
SAGRES;2° Dose;45
ESTRELA DO NORTE;2° Dose;31
JUMIRIM;2° Dose;23
TRABIJU;2° Dose;26
SANTA CRUZ DA ESPERANÇA;2° Dose;31
UNIÃO PAULISTA;2° Dose;43
BOREBI;2° Dose;39
EMBAÚBA;2° Dose;31
ARAPEÍ;2° Dose;32
TAQUARAL;2° Dose;36
URU;2° Dose;29
PLATINA;2° Dose;35
CRUZÁLIA;2° Dose;23
ITAPIRAPUÃ PAULISTA;2° Dose;33
BOM SUCESSO DE ITARARÉ;2° Dose;24
PAULISTÂNIA;2° Dose;43
TEJUPÁ;2° Dose;31
BENTO DE ABREU;2° Dose;26
NANTES;2° Dose;31
DOLCINÓPOLIS;2° Dose;33
ESPÍRITO SANTO DO TURVO;2° Dose;36
LUCIANÓPOLIS;2° Dose;29
SANTA CLARA D'OESTE;2° Dose;37
JÚLIO MESQUITA;2° Dose;34
CÁSSIA DOS COQUEIROS;2° Dose;23
NOVA CANAÃ PAULISTA;2° Dose;32
NOVA LUZITÂNIA;2° Dose;26
PONTALINDA;2° Dose;42
PRACINHA;2° Dose;47
FERNÃO;2° Dose;51
MESÓPOLIS;2° Dose;40
RUBIÁCEA;2° Dose;39
ÁLVARO DE CARVALHO;2° Dose;48
MARIÁPOLIS;2° Dose;39
ÓLEO;2° Dose;25
NOVA GUATAPORANGA;2° Dose;32
SÃO FRANCISCO;2° Dose;58
BARRA DO CHAPÉU;2° Dose;34
CÂNDIDO RODRIGUES;2° Dose;33
MIRA ESTRELA;2° Dose;26
RIBEIRA;2° Dose;31
SABINO;2° Dose;3
MARINÓPOLIS;2° Dose;48
SÃO JOÃO DE IRACEMA;2° Dose;50
SUZANÁPOLIS;2° Dose;21
MARABÁ PAULISTA;2° Dose;42
TURIÚBA;2° Dose;62
SANTA RITA D'OESTE;2° Dose;50
MACEDÔNIA;2° Dose;37
PONTES GESTAL;2° Dose;39
RUBINÉIA;2° Dose;30
TAQUARIVAÍ;2° Dose;44
CORUMBATAÍ;2° Dose;42
CANAS;2° Dose;39
PEDRANÓPOLIS;2° Dose;54
MOTUCA;2° Dose;28
QUEIROZ;2° Dose;59
NIPOÃ;2° Dose;39
RIFAINA;2° Dose;34
JOÃO RAMALHO;2° Dose;37
PRESIDENTE ALVES;2° Dose;28
CANITAR;2° Dose;45
BALBINOS;2° Dose;51
SÃO JOÃO DO PAU D'ALHO;2° Dose;31
ELISIÁRIO;2° Dose;29
FLORÍNEA;2° Dose;38
NOVAIS;2° Dose;56
FLORA RICA;2° Dose;23
BREJO ALEGRE;2° Dose;46
ALVINLÂNDIA;2° Dose;59
NOVA INDEPENDÊNCIA;2° Dose;46
COROADOS;2° Dose;31
SÃO JOSÉ DO BARREIRO;2° Dose;47
RIBEIRÃO DO SUL;2° Dose;33
OSCAR BRESSANE;2° Dose;55
SANTA SALETE;2° Dose;56
ARAMINA;2° Dose;40
CAMPOS NOVOS PAULISTA;2° Dose;39
JERIQUARA;2° Dose;53
PONGAÍ;2° Dose;54
SANDOVALINA;2° Dose;62
AREIAS;2° Dose;51
CAIABU;2° Dose;31
GLICÉRIO;2° Dose;42
PARISI;2° Dose;59
SANTA MERCEDES;2° Dose;33
LOURDES;2° Dose;66
EMILIANÓPOLIS;2° Dose;56
MARAPOAMA;2° Dose;52
ANHEMBI;2° Dose;46
PEDRINHAS PAULISTA;2° Dose;69
RIVERSUL;2° Dose;27
ALTO ALEGRE;2° Dose;50
LAVRINHAS;2° Dose;46
LUPÉRCIO;2° Dose;58
LUIZIÂNIA;2° Dose;48
MONTEIRO LOBATO;2° Dose;59
TORRE DE PEDRA;2° Dose;58
ALAMBARI;2° Dose;40
MOMBUCA;2° Dose;77
NARANDIBA;2° Dose;46
TURMALINA;2° Dose;61
RIBEIRÃO CORRENTE;2° Dose;59
REDENÇÃO DA SERRA;2° Dose;74
GUZOLÂNDIA;2° Dose;54
ITAPURA;2° Dose;57
SANTO EXPEDITO;2° Dose;41
FLOREAL;2° Dose;53
MONÇÕES;2° Dose;46
PARANAPUÃ;2° Dose;59
ÁLVARES FLORENCE;2° Dose;58
GASTÃO VIDIGAL;2° Dose;56
LUTÉCIA;2° Dose;73
SANTA LÚCIA;2° Dose;61
SANTA ERNESTINA;2° Dose;39
ITAJU;2° Dose;65
UBARANA;2° Dose;71
JAMBEIRO;2° Dose;50
TIMBURI;2° Dose;57
BORACÉIA;2° Dose;48
MURUTINGA DO SUL;2° Dose;46
SANTÓPOLIS DO AGUAPEÍ;2° Dose;58
MAGDA;2° Dose;57
CAMPINA DO MONTE ALEGRE;2° Dose;29
PRATÂNIA;2° Dose;71
SALMOURÃO;2° Dose;79
SEBASTIANÓPOLIS DO SUL;2° Dose;71
OCAUÇU;2° Dose;70
UBIRAJARA;2° Dose;58
ANALÂNDIA;2° Dose;72
CABRÁLIA PAULISTA;2° Dose;68
DOBRADA;2° Dose;57
IPIGUÁ;2° Dose;48
ANHUMAS;2° Dose;47
ESTIVA GERBI;2° Dose;51
INÚBIA PAULISTA;2° Dose;87
IPEÚNA;2° Dose;50
ITAOCA;2° Dose;43
ONDA VERDE;2° Dose;53
ITIRAPUÃ;2° Dose;74
PEDRA BELA;2° Dose;74
RIBEIRÃO GRANDE;2° Dose;70
ADOLFO;2° Dose;90
PAULICÉIA;2° Dose;70
CLEMENTINA;2° Dose;74
GUATAPARÁ;2° Dose;69
SILVEIRAS;2° Dose;57
MIRASSOLÂNDIA;2° Dose;70
RESTINGA;2° Dose;63
ALTAIR;2° Dose;84
PLANALTO;2° Dose;79
SARAPUÍ;2° Dose;62
LAGOINHA;2° Dose;58
IARAS;2° Dose;88
INDIAPORÃ;2° Dose;97
MONTE CASTELO;2° Dose;35
SANTA MARIA DA SERRA;2° Dose;70
IACRI;2° Dose;92
GAVIÃO PEIXOTO;2° Dose;85
NOVA CAMPINA;2° Dose;61
TAPIRAÍ;2° Dose;62
PARDINHO;2° Dose;60
TUIUTI;2° Dose;55
BARÃO DE ANTONINA;2° Dose;112
LAVÍNIA;2° Dose;81
MERIDIANO;2° Dose;73
SARUTAIÁ;2° Dose;96
CORONEL MACEDO;2° Dose;87
GUARANTÃ;2° Dose;76
INDIANA;2° Dose;89
ÁGUAS DE SANTA BÁRBARA;2° Dose;94
SANTO ANTÔNIO DA ALEGRIA;2° Dose;66
ARANDU;2° Dose;44
CAIUÁ;2° Dose;82
ORIENTE;2° Dose;68
SÃO JOSÉ DA BELA VISTA;2° Dose;52
ORINDIÚVA;2° Dose;99
BOFETE;2° Dose;68
RAFARD;2° Dose;73
BURITIZAL;2° Dose;62
NATIVIDADE DA SERRA;2° Dose;83
RIBEIRÃO DOS ÍNDIOS;2° Dose;110
IRAPUÃ;2° Dose;59
SALTO GRANDE;2° Dose;57
SÃO PEDRO DO TURVO;2° Dose;60
SANTO ANTÔNIO DO PINHAL;2° Dose;72
TARABAI;2° Dose;76
AMÉRICO DE CAMPOS;2° Dose;67
PIACATU;2° Dose;69
SANTA CRUZ DA CONCEIÇÃO;2° Dose;51
APARECIDA D'OESTE;2° Dose;74
PEREIRAS;2° Dose;52
TACIBA;2° Dose;62
CRISTAIS PAULISTA;2° Dose;72
PARAÍSO;2° Dose;74
DUMONT;2° Dose;87
SANTO ANTÔNIO DO JARDIM;2° Dose;85
SALTINHO;2° Dose;60
AREIÓPOLIS;2° Dose;97
POPULINA;2° Dose;106
SANTO ANTÔNIO DO ARACANGUÁ;2° Dose;92
ÁGUAS DE SÃO PEDRO;2° Dose;73
GUAIMBÊ;2° Dose;113
NOVA EUROPA;2° Dose;69
ÁGUAS DA PRATA;2° Dose;64
ALFREDO MARCONDES;2° Dose;56
SALES;2° Dose;88
BARBOSA;2° Dose;126
MENDONÇA;2° Dose;99
RINÓPOLIS;2° Dose;68
SÃO LOURENÇO DA SERRA;2° Dose;107
COLÔMBIA;2° Dose;104
ITOBI;2° Dose;98
JABORANDI;2° Dose;97
RIOLÂNDIA;2° Dose;104
VISTA ALEGRE DO ALTO;2° Dose;96
CATIGUÁ;2° Dose;33
POLONI;2° Dose;101
SETE BARRAS;2° Dose;74
IRAPURU;2° Dose;106
VARGEM;2° Dose;80
TAIÚVA;2° Dose;99
LINDÓIA;2° Dose;73
BRAÚNA;2° Dose;125
FERNANDO PRESTES;2° Dose;112
TRÊS FRONTEIRAS;2° Dose;114
EUCLIDES DA CUNHA PAULISTA;2° Dose;79
PEDRO DE TOLEDO;2° Dose;83
PALMARES PAULISTA;2° Dose;91
MONTE ALEGRE DO SUL;2° Dose;69
HERCULÂNDIA;2° Dose;110
ARCO-ÍRIS;2° Dose;189
ILHA COMPRIDA;2° Dose;68
QUELUZ;2° Dose;74
REGINÓPOLIS;2° Dose;61
IBIRAREMA;2° Dose;83
GETULINA;2° Dose;100
AREALVA;2° Dose;103
PIQUETE;2° Dose;96
ICÉM;2° Dose;130
NOVA ALIANÇA;2° Dose;107
CHAVANTES;2° Dose;131
PIQUEROBI;2° Dose;132
IPORANGA;2° Dose;50
SANTA ALBERTINA;2° Dose;109
ECHAPORÃ;2° Dose;140
ROSEIRA;2° Dose;118
AVANHANDAVA;2° Dose;124
MANDURI;2° Dose;109
NUPORANGA;2° Dose;118
SÃO LUIZ DO PARAITINGA;2° Dose;85
QUINTANA;2° Dose;153
IGARATÁ;2° Dose;110
IBIRÁ;2° Dose;125
GUAIÇARA;2° Dose;96
TAIAÇU;2° Dose;136
VALENTIM GENTIL;2° Dose;97
GÁLIA;2° Dose;132
JACUPIRANGA;2° Dose;105
PORANGABA;2° Dose;92
TARUMÃ;2° Dose;133
CAPELA DO ALTO;2° Dose;149
TAGUAÍ;2° Dose;150
SUD MENNUCCI;2° Dose;102
COSMORAMA;2° Dose;145
HOLAMBRA;2° Dose;115
SÃO BENTO DO SAPUCAÍ;2° Dose;128
GUAREÍ;2° Dose;125
LUÍS ANTÔNIO;2° Dose;143
GUARACI;2° Dose;165
GUARAÇAÍ;2° Dose;97
DOURADO;2° Dose;101
RINCÃO;2° Dose;102
RIBEIRÃO BRANCO;2° Dose;179
TERRA ROXA;2° Dose;110
CHARQUEADA;2° Dose;141
ELIAS FAUSTO;2° Dose;141
