,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),Bimestre,Ano,tempo,base = ultimo periodo
fevereiro 2018,Atenção Básica,74.64944025624384,72.69044526558663,40.683098281569016,40.683098281569016,5.1,28401641.82,7.455596493488215,7.455596493488215,3.27,57885985.05,1,2018,2018-02-20,88.73475778602311
abril 2018,Atenção Básica,74.41859526211266,73.9310050304042,5.636835487006506,46.19412586496888,4.56,24688599.26,9.94931607987167,17.381856980138075,3.47,50334403.03,2,2018,2018-04-20,89.01001122998021
junho 2018,Atenção Básica,73.1997894872344,72.00847852795866,4.260690683782222,49.69826279802019,4.18,20188974.59,7.0415062847183565,24.138688344685157,3.1,43318360.94,3,2018,2018-06-20,90.4920635209639
agosto 2018,Atenção Básica,73.02474697798576,72.30040645397169,3.2991178397846053,52.87853728201918,3.89,17617378.59,9.38545596306971,33.46642151090773,3.2,35225909.97,4,2018,2018-08-20,90.70897571198554
outubro 2018,Atenção Básica,72.35032617748966,71.85112436029054,3.0285648404606587,55.418741848481865,3.63,15044590.33,7.991469182216811,41.14881121364439,3.14,28109358.04,5,2018,2018-10-20,91.5545284999824
dezembro 2018,Atenção Básica,72.39399061292784,70.10212422627782,1.9116444375024648,57.36383227307735,3.32,11655448.91,5.321785879156052,46.4954309768411,2.8,21599960.82,6,2018,2018-12-20,91.49930738611765
fevereiro 2019,Atenção Básica,63.349625858491294,64.75233266964916,41.10942049914711,41.10942049914711,5.18,21795646.81,3.923718861790332,3.923718861790332,1.67,56075959.38,1,2019,2019-02-20,92.18681122198316
abril 2019,Atenção Básica,62.52166705213662,69.02119654708798,8.386260326483606,48.95839419978013,4.76,18740185.8,8.234043919655866,12.106481064447015,2.37,53162680.09,2,2019,2019-04-20,93.40761811629307
junho 2019,Atenção Básica,62.43425098430597,71.91253853504382,1.7201098950752511,50.61005182046739,4.12,19926005.43,11.107393527466693,23.19694764450782,2.81,45567784.72,3,2019,2019-06-20,93.53840092464623
agosto 2019,Atenção Básica,62.247378751031285,72.09593583245376,3.4523335082226128,53.91090415832703,3.84,17061053.35,11.944226151748301,35.07174290947292,3.16,34735805.91,4,2019,2019-08-20,93.8192116226781
outubro 2019,Atenção Básica,62.210077588509236,71.52543869171285,2.364608127685884,56.24320667832197,3.54,14346266.46,10.93692160350519,45.9876480973724,3.28,23973719.83,5,2019,2019-10-20,93.87546562196702
dezembro 2019,Atenção Básica,61.190722754888505,70.35344527065486,2.7309471011816453,58.05257022249376,3.21,11739869.55,7.957361097556616,53.19147000655217,3.04,16379269.77,6,2019,2019-12-20,95.43930414735041
fevereiro 2020,Atenção Básica,118.2847190856484,122.97958587497446,27.896773818680124,27.896773818680124,3.35,91164283.93,13.539668153241964,13.539668153241964,5.42,104929708.29,1,2020,2020-02-20,95.87882600277499
abril 2020,Atenção Básica,118.56954328544239,134.7426228870064,20.24441211928908,48.208360094877726,4.51,82768731.93,16.48563053818107,30.057901593784674,5.62,100129374.82,2,2020,2020-04-20,95.64850876331589
junho 2020,Atenção Básica,118.71317197795507,135.26412186359804,20.76441694515991,69.03117402409228,5.44,63274180.02,19.596529372711576,49.690841472819926,5.95,81750538.44,3,2020,2020-06-20,95.53278554553334
agosto 2020,Atenção Básica,118.00412765635402,135.18457913702048,17.698724277481624,86.31759222685857,6.08,46964501.12,17.56781978376214,66.96187018955182,6.14,65566667.67,4,2020,2020-08-20,96.10680766207365
outubro 2020,Atenção Básica,116.25392023702874,137.28042519382382,15.707509821988518,100.7448613205423,6.41,35641794.19,20.14977622746818,86.11848486966342,6.38,49910365.52,5,2020,2020-10-20,97.55369949569847
dezembro 2020,Atenção Básica,113.693525,133.95618879365,16.205585521474998,114.73162563965,6.67,19176621.6,24.22470439415,108.446501754,6.57,25446071.86,6,2020,2020-12-20,99.75062344139651
fevereiro 2018,Assistência Hospitalar e Ambulatorial,105.43669959139368,111.25185199474286,99.95990611017511,99.95990611017511,12.54,10019880.83,19.976473506295058,19.976473506295058,8.77,80992986.02,1,2018,2018-02-20,88.73475778602311
abril 2018,Assistência Hospitalar e Ambulatorial,105.11064846207728,111.67093431005075,1.2763276897749163,100.92711903820302,9.96,9563071.18,16.37376105070203,36.28845956051362,7.24,67097949.24,2,2018,2018-04-20,89.01001122998021
junho 2018,Assistência Hospitalar e Ambulatorial,103.38917730428989,112.83352227496249,4.305627431180605,103.57979192096293,8.7,8373891.55,17.011916858801257,52.70605474584051,6.76,54410586.11,3,2018,2018-06-20,90.4920635209639
agosto 2018,Assistência Hospitalar e Ambulatorial,103.14194297272599,112.56370370028182,1.1556746416457286,104.4877764146956,7.69,7325590.92,17.51191196385773,70.09193082708254,6.7,38525710.14,4,2018,2018-08-20,90.70897571198554
outubro 2018,Assistência Hospitalar e Ambulatorial,102.18937449939244,116.73953060663794,3.737676776961019,107.26045525975144,7.03,8678522.74,20.643410085393683,90.08800616565445,6.86,24400677.54,5,2018,2018-10-20,91.5545284999824
dezembro 2018,Assistência Hospitalar e Ambulatorial,102.25104721852227,117.68430810694568,8.313522711051814,115.63871115821513,6.69,1871707.04,22.6466968132962,112.78907235275726,6.79,4479106.81,6,2018,2018-12-20,91.49930738611765
fevereiro 2019,Assistência Hospitalar e Ambulatorial,113.41101684084357,113.59055339038477,101.40858388613749,101.40858388613749,12.79,11230169.23,26.7844193249543,26.7844193249543,11.4,80023806.94,1,2019,2019-02-20,92.18681122198316
abril 2019,Assistência Hospitalar e Ambulatorial,111.92877209419322,122.89737318542784,14.698345592012467,114.78155258869467,11.17,7580794.71,23.088506167826342,49.522861928037116,9.69,68537383.27,2,2019,2019-04-20,93.40761811629307
junho 2019,Assistência Hospitalar e Ambulatorial,111.77227637686968,122.7255414730452,0.9585667609630362,115.57963495344936,9.42,6684166.69,18.458271393701718,67.91189182416554,8.23,51271811.37,3,2019,2019-06-20,93.53840092464623
agosto 2019,Assistência Hospitalar e Ambulatorial,111.43773028116988,122.35821111105084,1.201597093497107,116.43529012942025,8.29,5556837.77,20.021560899004072,87.73018533882505,7.92,32487740.78,4,2019,2019-08-20,93.8192116226781
outubro 2019,Assistência Hospitalar e Ambulatorial,111.37095225819591,122.2915468481428,3.052577189379543,119.41809455458765,7.52,2697466.72,17.476069206479682,105.15368304804537,7.51,16088249.44,5,2019,2019-10-20,93.87546562196702
dezembro 2019,Assistência Hospitalar e Ambulatorial,109.54606274013003,122.11773502671291,2.9551908463681946,120.41653793133878,6.66,1623610.67,14.36811166270505,117.79877941735934,6.74,4121981.18,6,2019,2019-12-20,95.43930414735041
fevereiro 2020,Assistência Hospitalar e Ambulatorial,258.04028930521054,258.96983948553316,159.69432981539478,159.69432981539478,19.17,95184193.18,50.55245570966542,50.55245570966542,20.25,199828140.75,1,2020,2020-02-20,95.87882600277499
abril 2020,Assistência Hospitalar e Ambulatorial,258.6616385334465,261.8935151617056,16.72044552160728,176.79931198766084,16.53,81391336.38,40.12154389668669,90.79572761024332,16.97,163652482.32,2,2020,2020-04-20,95.64850876331589
junho 2020,Assistência Hospitalar e Ambulatorial,258.9749671667221,264.74378440420674,22.427373343770103,199.44085039704814,15.72,62385711.9,43.68576663150726,134.59147924532778,16.12,124338122.57,3,2020,2020-06-20,95.53278554553334
agosto 2020,Assistência Hospitalar e Ambulatorial,257.4281739436374,261.653797391957,16.67400773142509,214.923647413494,15.14,44910855.36,37.97433599951138,171.76193373359027,15.75,86392200.51,4,2020,2020-08-20,96.10680766207365
outubro 2020,Assistência Hospitalar e Ambulatorial,253.6100642814772,257.77301434999725,16.46950899151543,228.20546314577882,14.53,28844240.05,34.06674513811277,203.28114924923395,15.05,53158830.33,5,2020,2020-10-20,97.55369949569847
